invoice_id,invoice_date,supplier,category,amount,notes
INV-3001,2026-08-01,Fresh Fields Produce Co.,produce,320.00,Weekly produce delivery
INV-3002,2026-08-02,Coastal Meat & Poultry,protein,545.50,"Beef, chicken, pork order"
INV-3003,2026-08-03,Blue Wave Beverage Distributors,beverage,410.00,"Kegs, soft drinks, mixers"
INV-3004,2026-08-04,Fresh Fields Produce Co.,produce,298.75,Mid-week produce top-up
INV-3005,2026-08-05,PackRight Disposables,packaging,142.00,"To-go containers, napkins"
INV-3006,2026-08-06,Coastal Meat & Poultry,protein,510.25,Weekly protein order
INV-3007,2026-08-08,Fresh Fields Produce Co.,produce,335.00,Weekend produce delivery
INV-3008,2026-08-09,Blue Wave Beverage Distributors,beverage,395.50,Weekly beverage order
INV-3009,2026-08-11,Fresh Fields Produce Co.,produce,310.00,Weekly produce delivery
INV-3010,2026-08-12,Coastal Meat & Poultry,protein,528.00,Weekly protein order
INV-3011,2026-08-13,PackRight Disposables,packaging,138.50,"To-go containers, napkins"
INV-3012,2026-08-14,Blue Wave Beverage Distributors,beverage,402.25,Weekly beverage order
